datetime,sea_high,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2025-05-01 0:00,33.2,2.45,189.9,15.64,1009.56,45.2,서남서,242.0,9.78,0
2025-05-01 0:10,33.7,2.93,196.6,15.59,1009.69,32.9,서남서,242.0,9.8,0
2025-05-01 0:20,37.3,3.14,197.7,15.63,1009.64,26.4,서남서,247.0,9.81,0
2025-05-01 0:30,42.6,3.19,203.5,15.71,1009.6,16.7,서남서,253.0,9.84,0
2025-05-01 0:40,49.3,3.39,201.5,15.71,1009.6,4.4,남남서,210.0,9.84,0
2025-05-01 0:50,58.8,3.84,193.4,15.7,1009.5,4.9,북서,322.0,9.83,0
2025-05-01 1:00,71.7,3.86,187.5,15.71,1009.31,10.8,북북서,343.0,9.82,0
2025-05-01 1:10,87.4,3.58,187.1,15.74,1009.24,7.1,북북서,340.0,9.87,1
2025-05-01 1:20,104.5,3.9,190.5,15.69,1009.19,24.7,북북동,12.0,9.85,1
2025-05-01 1:30,125.2,3.99,198.6,15.78,1009.18,19.8,북북동,28.0,9.86,1
2025-05-01 1:40,148.5,4.12,195.2,15.79,1009.1,26.5,북동,49.0,9.72,1
2025-05-01 1:50,173.1,5.21,192.8,15.81,1009.04,38.6,북동,45.0,9.68,1
2025-05-01 2:00,198.6,5.58,193.7,15.82,1008.87,48.6,북동,44.0,9.62,1
2025-05-01 2:10,225.8,4.98,198.3,15.84,1008.7,63.3,북동,43.0,9.5,1
2025-05-01 2:20,256.2,5.81,199.6,15.95,1008.47,58.8,북북동,29.0,9.74,1
2025-05-01 2:30,285.4,5.65,202.8,16.0,1008.31,66.8,북북동,33.0,9.7,1
2025-05-01 2:40,317.4,5.0,202.6,15.93,1008.37,72.3,북동,37.0,9.7,0
2025-05-01 2:50,348.7,5.26,203.2,15.95,1008.3,77.5,북동,51.0,9.32,0
2025-05-01 3:00,380.7,5.9,203.8,15.95,1008.25,102.7,북동,38.0,9.3,0
2025-05-01 3:10,413.4,6.28,204.6,15.99,1008.17,117.6,북동,47.0,8.81,0
2025-05-01 3:20,445.5,6.04,206.2,15.98,1008.08,102.2,북동,46.0,8.73,0
2025-05-01 3:30,477.9,6.35,206.3,15.99,1007.93,79.9,북동,48.0,8.53,0
2025-05-01 3:40,510.1,6.33,201.9,16.0,1007.76,64.3,동북동,61.0,8.79,1
2025-05-01 3:50,537.6,6.55,198.7,16.04,1007.57,65.5,동북동,58.0,8.76,1
2025-05-01 4:00,564.4,6.17,196.8,16.12,1007.44,54.6,동북동,66.0,8.69,1
2025-05-01 4:10,592.5,6.27,195.4,16.13,1007.31,50.5,동북동,60.0,8.63,1
2025-05-01 4:20,619.4,6.53,195.0,16.1,1007.15,44.6,동북동,64.0,8.53,1
2025-05-01 4:30,640.2,6.79,194.8,16.06,1007.01,47.9,동북동,66.0,8.48,1
2025-05-01 4:40,659.0,6.4,194.4,16.01,1006.91,40.3,동북동,66.0,8.46,1
2025-05-01 4:50,677.5,6.68,194.8,15.99,1006.77,45.1,동북동,59.0,8.4,1
2025-05-01 5:00,699.1,5.83,191.2,16.04,1006.58,31.9,동북동,61.0,8.36,1
2025-05-01 5:10,714.4,6.81,192.8,16.19,1006.4,42.7,동북동,62.0,8.32,1
2025-05-01 5:20,730.5,6.83,194.4,16.19,1006.16,36.6,동북동,78.0,8.4,1
2025-05-01 5:30,743.7,6.86,196.5,16.29,1005.95,24.1,동북동,76.0,8.4,1
2025-05-01 5:40,756.5,6.58,197.1,16.39,1005.73,29.2,동북동,63.0,8.4,1
2025-05-01 5:50,766.8,7.58,193.9,16.55,1005.54,30.9,동북동,60.0,8.38,1
2025-05-01 6:00,777.3,7.49,190.7,16.7,1005.41,17.3,북북동,26.0,8.37,1
2025-05-01 6:10,785.0,8.03,188.8,16.82,1005.1,25.9,북북동,15.0,8.34,0
2025-05-01 6:20,792.8,7.75,195.4,16.99,1005.06,17.9,북북동,27.0,8.34,1
2025-05-01 6:30,795.7,7.43,198.0,16.98,1005.11,16.3,북,8.0,8.32,1
2025-05-01 6:40,793.2,7.29,199.5,16.96,1005.07,15.0,북,353.0,8.28,1
2025-05-01 6:50,791.0,6.71,197.0,16.97,1005.22,8.7,북서,323.0,8.26,1
2025-05-01 7:00,788.0,7.51,194.0,17.24,1005.32,13.6,서,262.0,8.27,1
2025-05-01 7:10,784.1,7.53,194.4,17.33,1005.12,21.1,서,263.0,8.34,1
2025-05-01 7:20,774.7,6.97,195.5,17.45,1005.21,32.4,서남서,258.0,8.34,1
2025-05-01 7:30,763.8,7.8,196.6,17.68,1005.17,24.7,서남서,247.0,8.32,1
2025-05-01 7:40,748.8,7.49,200.9,17.79,1005.16,34.3,서남서,245.0,8.3,1
2025-05-01 7:50,732.9,7.45,199.4,17.84,1005.21,27.0,서남서,255.0,8.31,1
2025-05-01 8:00,715.8,6.83,197.0,17.81,1005.3,24.0,서남서,256.0,8.34,1
2025-05-01 8:10,697.5,7.75,196.5,17.56,1005.13,36.0,서남서,242.0,8.31,1
2025-05-01 8:20,676.0,3.42,239.0,16.58,1005.93,44.0,서남서,238.0,8.28,1
2025-05-01 8:30,650.4,4.02,247.3,15.79,1006.6,62.6,서남서,239.0,8.35,1
2025-05-01 8:40,626.7,2.9,231.7,15.56,1006.2,66.4,서남서,239.0,8.37,1
2025-05-01 8:50,606.2,2.99,231.9,15.85,1006.21,67.4,남서,236.0,8.43,1
2025-05-01 9:00,583.4,2.22,229.3,15.7,1006.25,78.4,남서,236.0,8.4,0
2025-05-01 9:10,553.8,3.94,217.0,15.36,1006.25,95.7,남서,236.0,8.49,0
2025-05-01 9:20,527.2,4.74,196.7,15.26,1005.88,99.5,남서,236.0,8.49,0
2025-05-01 9:30,502.1,5.77,201.3,15.52,1005.93,103.0,남서,234.0,8.5,0
2025-05-01 9:40,479.2,5.05,203.2,15.54,1006.03,113.3,남서,234.0,8.54,0
2025-05-01 9:50,457.2,2.65,235.8,15.45,1006.33,118.5,남서,233.0,8.52,0
2025-05-01 10:00,430.2,2.66,257.3,14.47,1006.57,106.4,남서,235.0,8.49,0
2025-05-01 10:10,400.6,3.22,253.3,13.69,1006.68,112.0,남서,234.0,8.56,0
2025-05-01 10:20,374.3,3.0,227.6,13.62,1006.76,98.8,남서,235.0,8.53,0
2025-05-01 10:30,351.5,2.09,216.8,13.48,1006.44,106.4,남서,235.0,8.59,0
2025-05-01 10:40,330.7,3.6,205.1,13.63,1006.08,105.8,서남서,240.0,8.81,0
2025-05-01 10:50,306.5,2.54,228.1,13.91,1006.29,107.9,서남서,239.0,8.9,0
